donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2018,ALL CHARITIES CAMPAIGN,WINNIPEG,MB,25,0,https://www.charitydata.ca/charity/meadows-west-kids-kare-inc/107685778RR0001/,MEADOWS WEST KIDS KARE INC.,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107685778RR0001,n/a,CA,Manitoba,WINNIPEG,1
2021,CANADAHELPS CANADON,TORONTO,ON,"3,848",0,https://www.charitydata.ca/charity/medicine-hat-christian-school-society/107687725RR0001/,MEDICINE HAT CHRISTIAN SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107687725RR0001,WWW.MEDHATCHRISTIANSCHOOL.COM,CA,Alberta,MEDICINE HAT,1
2021,"CHRISTIAN REFORMED CHURCH, MEDICINE HAT",MEDICINE HAT,AB,817,0,https://www.charitydata.ca/charity/medicine-hat-christian-school-society/107687725RR0001/,MEDICINE HAT CHRISTIAN SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107687725RR0001,WWW.MEDHATCHRISTIANSCHOOL.COM,CA,Alberta,MEDICINE HAT,1
2020,CANADAHELPS CANADON,TORONTO,ON,"8,297",0,https://www.charitydata.ca/charity/medicine-hat-christian-school-society/107687725RR0001/,MEDICINE HAT CHRISTIAN SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107687725RR0001,WWW.MEDHATCHRISTIANSCHOOL.COM,CA,Alberta,MEDICINE HAT,1
2020,"CHRISTIAN REFORMED CHURCH, MEDICINE HAT",MEDICINE HAT,AB,712,0,https://www.charitydata.ca/charity/medicine-hat-christian-school-society/107687725RR0001/,MEDICINE HAT CHRISTIAN SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107687725RR0001,WWW.MEDHATCHRISTIANSCHOOL.COM,CA,Alberta,MEDICINE HAT,1
2020,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,75,0,https://www.charitydata.ca/charity/medicine-hat-christian-school-society/107687725RR0001/,MEDICINE HAT CHRISTIAN SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107687725RR0001,WWW.MEDHATCHRISTIANSCHOOL.COM,CA,Alberta,MEDICINE HAT,1
2020,FRIENDS OF MEDALTA SOCIETY,MEDICINE HAT,AB,43,43,https://www.charitydata.ca/charity/medicine-hat-christian-school-society/107687725RR0001/,MEDICINE HAT CHRISTIAN SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107687725RR0001,WWW.MEDHATCHRISTIANSCHOOL.COM,CA,Alberta,MEDICINE HAT,1
2019,CANADAHELPS CANADON,TORONTO,ON,"5,427",0,https://www.charitydata.ca/charity/medicine-hat-christian-school-society/107687725RR0001/,MEDICINE HAT CHRISTIAN SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107687725RR0001,WWW.MEDHATCHRISTIANSCHOOL.COM,CA,Alberta,MEDICINE HAT,1
2019,"CHRISTIAN REFORMED CHURCH, MEDICINE HAT",MEDICINE HAT,AB,565,0,https://www.charitydata.ca/charity/medicine-hat-christian-school-society/107687725RR0001/,MEDICINE HAT CHRISTIAN SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107687725RR0001,WWW.MEDHATCHRISTIANSCHOOL.COM,CA,Alberta,MEDICINE HAT,1
2018,CANADAHELPS CANADON,TORONTO,ON,"10,701",0,https://www.charitydata.ca/charity/medicine-hat-christian-school-society/107687725RR0001/,MEDICINE HAT CHRISTIAN SCHOOL SOCIETY,Advancement of Education,Teaching Institutions / Other,Charitable Organization,107687725RR0001,WWW.MEDHATCHRISTIANSCHOOL.COM,CA,Alberta,MEDICINE HAT,1
